Experiment,Runtime Variance, Runtime Ratio, Size Variance, Size Ratio
orig.tau.nas.mg.64.1024,0.73,0.19,9.02,0.19
orig.tau.nas.sp.64.1024,2.14,0.14,4221.87,0.14
pinAll.mpicc.nas.bt.1.16,0.08,0.00,1039.84,0.00
pinAll.mpicc.nas.cg.1.16,0.01,0.01,33.55,0.01
pinAll.mpicc.nas.ep.1.16,0.11,0.02,115.17,0.02
pinAll.mpicc.nas.ft.1.16,0.01,0.00,0.81,0.00
pinAll.mpicc.nas.is.1.16,0.00,0.01,1.53,0.01
pinAll.mpicc.nas.lu.1.16,0.68,0.02,3495.15,0.02
pinAll.mpicc.nas.mg.1.16,0.49,0.08,88.39,0.08
pinAll.mpicc.nas.sp.1.16,0.02,0.00,28052.72,0.00
pinAll.mpicc.nas.bt.4.64,0.00,0.00,31390.46,0.00
pinAll.mpicc.nas.cg.4.64,0.54,0.08,0.01,0.08
pinAll.mpicc.nas.ep.4.64,0.21,0.05,0.08,0.05
pinAll.mpicc.nas.ft.4.64,0.00,0.00,77.91,0.00
pinAll.mpicc.nas.is.4.64,0.00,0.01,69.31,0.01
pinAll.mpicc.nas.lu.4.64,0.33,0.04,188937.18,0.04
pinAll.mpicc.nas.mg.4.64,0.21,0.07,10154.33,0.07
pinAll.mpicc.nas.sp.4.64,0.04,0.01,7042.66,0.01
pinAll.mpicc.nas.bt.16.256,0.03,0.02,71092.00,0.02
pinAll.mpicc.nas.cg.16.256,0.11,0.04,601242.64,0.04
pinAll.mpicc.nas.ep.16.256,0.47,0.12,5471.15,0.12
pinAll.mpicc.nas.ft.16.256,0.18,0.05,13390579.77,0.05
pinAll.mpicc.nas.is.16.256,0.08,0.05,54477.28,0.05
pinAll.mpicc.nas.lu.16.256,0.09,0.03,1106644.79,0.03
pinAll.mpicc.nas.mg.16.256,0.10,0.05,15380172.48,0.05
pinAll.mpicc.nas.sp.16.256,0.40,0.07,440241.42,0.07
pinAll.mpicc.nas.bt.64.1024,1.08,0.08,21584113.92,0.08
pinAll.mpicc.nas.cg.64.1024,2.00,0.12,37403355.04,0.12
pinAll.mpicc.nas.ep.64.1024,296.90,1.35,290678762.67,1.35
pinAll.mpicc.nas.ft.64.1024,0.27,0.03,68843874.56,0.03
pinAll.mpicc.nas.is.64.1024,1066.57,1.55,1059580252.40,1.55
pinAll.mpicc.nas.lu.64.1024,119.58,0.48,4656674.46,0.48
pinAll.mpicc.nas.mg.64.1024,12.36,0.20,192813785.41,0.20
pinAll.mpicc.nas.sp.64.1024,1.71,0.10,4261898295.24,0.10
pinMain.mpicc.nas.bt.1.16,0.07,0.00,0.00,0.00
pinMain.mpicc.nas.cg.1.16,0.05,0.02,16.78,0.02
