Experiment,Runtime Variance, Runtime Ratio, Size Variance, Size Ratio
pinAll.mpicc.nas.mg.4.64,16.65,0.57,10154.33,0.57
pinAll.mpicc.nas.sp.4.64,4.56,0.13,7042.66,0.13
pinAll.mpicc.nas.bt.16.256,0.03,0.02,119688.87,0.02
pinAll.mpicc.nas.cg.16.256,0.50,0.10,601242.64,0.10
pinAll.mpicc.nas.ep.16.256,0.47,0.12,5729.01,0.12
pinAll.mpicc.nas.ft.16.256,0.60,0.11,13390579.77,0.11
pinAll.mpicc.nas.is.16.256,0.12,0.06,158041.60,0.06
pinAll.mpicc.nas.lu.16.256,0.09,0.03,1330347.29,0.03
pinAll.mpicc.nas.mg.16.256,2.25,0.23,15380172.48,0.23
pinAll.mpicc.nas.sp.16.256,9.31,0.33,737529920.85,0.33
pinAll.mpicc.nas.bt.64.1024,2.02,0.13,352663789.00,0.13
pinAll.mpicc.nas.cg.64.1024,49.47,0.54,38592007446.02,0.54
pinAll.mpicc.nas.ep.64.1024,299.30,1.37,294526437.36,1.37
pinAll.mpicc.nas.ft.64.1024,11.58,0.21,152779589.85,0.21
pinAll.mpicc.nas.is.64.1024,1091.10,1.60,1207684930.04,1.60
pinAll.mpicc.nas.lu.64.1024,119.58,0.48,15998048.46,0.48
pinAll.mpicc.nas.mg.64.1024,12.36,0.20,253709887.63,0.20
pinAll.mpicc.nas.sp.64.1024,5.94,0.23,4466909496.81,0.23
pinMain.mpicc.nas.bt.1.16,0.08,0.00,0.00,0.00
pinMain.mpicc.nas.cg.1.16,0.08,0.03,16.78,0.03
pinMain.mpicc.nas.ep.1.16,0.07,0.02,0.00,0.02
pinMain.mpicc.nas.ft.1.16,0.99,0.05,0.00,0.05
pinMain.mpicc.nas.is.1.16,0.00,0.01,0.00,0.01
pinMain.mpicc.nas.lu.1.16,0.14,0.01,4218.44,0.01
pinMain.mpicc.nas.mg.1.16,6.80,0.35,26.40,0.35
pinMain.mpicc.nas.sp.1.16,0.00,0.00,1.07,0.00
pinMain.mpicc.nas.bt.4.64,13.90,0.17,86290.60,0.17
pinMain.mpicc.nas.cg.4.64,3.93,0.24,38782.30,0.24
pinMain.mpicc.nas.ep.4.64,0.15,0.05,0.53,0.05
pinMain.mpicc.nas.ft.4.64,0.60,0.09,9.71,0.09
pinMain.mpicc.nas.is.4.64,0.18,0.11,4.04,0.11
pinMain.mpicc.nas.lu.4.64,0.13,0.03,95477.69,0.03
pinMain.mpicc.nas.mg.4.64,10.39,0.57,62.72,0.57
pinMain.mpicc.nas.sp.4.64,0.70,0.06,3085.72,0.06
pinMain.mpicc.nas.bt.16.256,0.02,0.02,97699153.32,0.02
pinMain.mpicc.nas.cg.16.256,0.28,0.09,208339.31,0.09
pinMain.mpicc.nas.ep.16.256,0.02,0.04,15.10,0.04
pinMain.mpicc.nas.ft.16.256,0.05,0.04,440.61,0.04
pinMain.mpicc.nas.is.16.256,0.01,0.02,536.71,0.02
pinMain.mpicc.nas.lu.16.256,0.88,0.11,1009161.07,0.11
pinMain.mpicc.nas.mg.16.256,4.92,0.49,849.86,0.49
pinMain.mpicc.nas.sp.16.256,17.73,0.52,100854.30,0.52
pinMain.mpicc.nas.bt.64.1024,18.74,0.17,9915656.47,0.17
pinMain.mpicc.nas.cg.64.1024,0.29,0.07,21164.45,0.07
pinMain.mpicc.nas.ep.64.1024,0.11,0.06,395.24,0.06
pinMain.mpicc.nas.ft.64.1024,1164.48,1.77,69229427.38,1.77
pinMain.mpicc.nas.is.64.1024,5586.47,1.78,537450386.71,1.78
pinMain.mpicc.nas.lu.64.1024,0.33,0.05,1104767.77,0.05
pinMain.mpicc.nas.mg.64.1024,5.60,0.35,1016776029.72,0.35
pinMain.mpicc.nas.sp.64.1024,0.50,0.10,186630.11,0.10
tau_exec.mpicc.nas.bt.1.16,0.54,0.02,0.00,0.02
tau_exec.mpicc.nas.cg.1.16,0.00,0.01,0.02,0.01
tau_exec.mpicc.nas.ep.1.16,0.13,0.07,0.00,0.07
tau_exec.mpicc.nas.ft.1.16,0.00,0.00,0.00,0.00
tau_exec.mpicc.nas.is.1.16,0.63,0.32,0.01,0.32
tau_exec.mpicc.nas.lu.1.16,0.47,0.02,0.00,0.02
tau_exec.mpicc.nas.mg.1.16,6.56,0.48,0.01,0.48
tau_exec.mpicc.nas.sp.1.16,0.27,0.01,0.00,0.01
tau_exec.mpicc.nas.bt.4.64,1.33,0.10,0.01,0.10
tau_exec.mpicc.nas.cg.4.64,0.07,0.06,0.36,0.06
tau_exec.mpicc.nas.ep.4.64,0.04,0.08,0.92,0.08
tau_exec.mpicc.nas.ft.4.64,0.16,0.08,0.06,0.08
tau_exec.mpicc.nas.is.4.64,0.90,0.40,0.57,0.40
tau_exec.mpicc.nas.lu.4.64,0.01,0.01,13.95,0.01
tau_exec.mpicc.nas.mg.4.64,7.35,0.80,13.55,0.80
tau_exec.mpicc.nas.sp.4.64,0.22,0.05,0.35,0.05
tau_exec.mpicc.nas.bt.16.256,2.53,0.30,297.07,0.30
tau_exec.mpicc.nas.cg.16.256,0.33,0.16,323.58,0.16
tau_exec.mpicc.nas.ep.16.256,0.23,0.27,571.49,0.27
tau_exec.mpicc.nas.ft.16.256,0.01,0.03,15.63,0.03
tau_exec.mpicc.nas.is.16.256,0.30,0.25,24.36,0.25
tau_exec.mpicc.nas.lu.16.256,0.06,0.02,321.99,0.02
tau_exec.mpicc.nas.mg.16.256,4.99,0.82,324.52,0.82
tau_exec.mpicc.nas.sp.16.256,0.62,0.15,425.26,0.15
tau_exec.mpicc.nas.bt.64.1024,0.28,0.07,6229.55,0.07
tau_exec.mpicc.nas.cg.64.1024,13.64,0.49,6696.96,0.49
tau_exec.mpicc.nas.ep.64.1024,0.50,0.17,3693.03,0.17
tau_exec.mpicc.nas.ft.64.1024,2.22,0.25,496.35,0.25
tau_exec.mpicc.nas.is.64.1024,4.54,0.29,3370.08,0.29
tau_exec.mpicc.nas.lu.64.1024,2.34,0.11,4247.80,0.11
tau_exec.mpicc.nas.mg.64.1024,11.58,0.71,385.51,0.71
tau_exec.mpicc.nas.sp.64.1024,0.47,0.05,3002.23,0.05
