Tool,Compiler,Benchmark,Application,#nodes,#processes,avg Runtime(s)-real,avg Runtime(s)-user, avg Size(KB)
orig,scorep,nas,ft,1,16,24.612333333333336,1.4606666666666666,145.44140625
orig,scorep,nas,is,1,16,6.7503333333333337,1.4453333333333334,141.171875
orig,scorep,nas,lu,1,16,62.622666666666667,1.4656666666666667,163388.3701171875
orig,scorep,nas,mg,1,16,11.535333333333334,1.4593333333333334,6558.4833984375
orig,scorep,nas,sp,1,16,112.86066666666666,1.4603333333333335,21159.3125
orig,scorep,nas,bt,4,64,23.974333333333334,1.5923333333333334,100073.7861328125
orig,scorep,nas,cg,4,64,9.9443333333333328,1.6093333333333335,156978.93359375
orig,scorep,nas,ep,4,64,6.5970000000000004,1.6020000000000001,163.896484375
orig,scorep,nas,ft,4,64,12.581000000000001,1.6123333333333332,295.9765625
orig,scorep,nas,is,4,64,6.3346666666666662,1.5890000000000002,274.958984375
orig,scorep,nas,lu,4,64,21.206999999999997,1.6140000000000001,762693.4150390625
orig,scorep,nas,mg,4,64,8.283666666666667,1.6143333333333334,25462.44140625
orig,scorep,nas,sp,4,64,23.585999999999999,1.5976666666666668,169934.693359375
orig,tau,nas,bt,1,16,93.143333333333331,1.4193333333333333,64058.458984375
orig,tau,nas,cg,1,16,21.029333333333334,1.4099999999999999,167970.408203125
orig,tau,nas,ep,1,16,11.259333333333336,1.413,105.203125
orig,tau,nas,ft,1,16,24.954333333333334,1.425,249.2041015625
orig,tau,nas,is,1,16,6.7030000000000003,1.3966666666666665,268.71484375
orig,tau,nas,lu,1,16,71.031000000000006,1.4346666666666668,913058.9677734375
orig,tau,nas,mg,1,16,11.4,1.4243333333333332,38858.4033203125
orig,tau,nas,sp,1,16,112.63866666666667,1.425,111254.330078125
orig,tau,nas,bt,4,64,25.312000000000001,1.6016666666666666,531240.884765625
orig,tau,nas,cg,4,64,11.338666666666668,1.6130000000000002,960082.3974609375
orig,tau,nas,ep,4,64,7.3956666666666662,1.611,420.3212890625
orig,tau,nas,ft,4,64,12.049666666666667,1.6083333333333332,993.5927734375
orig,tau,nas,is,4,64,6.1000000000000005,1.5903333333333334,1077.4853515625
orig,tau,nas,lu,4,64,31.514666666666667,1.6026666666666667,4260748.1572265625
orig,tau,nas,mg,4,64,8.8390000000000004,1.6143333333333334,152850.14453125
orig,tau,nas,sp,4,64,24.515000000000001,1.6043333333333336,907003.220703125
pinAll,mpicc,amg,amg1,1,16,4.4936666666666669,0.91033333333333333,0.0654296875
pinAll,mpicc,amg,amg2,1,16,4.5616666666666674,0.90166666666666673,0.0654296875
pinAll,mpicc,amg,amg3,1,16,6.3773333333333326,0.89366666666666672,0.0654296875
pinAll,mpicc,amg,amg4,1,16,5.0376666666666665,0.89666666666666661,0.0654296875
pinAll,mpicc,amg,amg1,4,64,4.8380000000000001,1.1113333333333333,0.064453125
pinAll,mpicc,amg,amg2,4,64,4.9366666666666665,1.1136666666666666,0.064453125
pinAll,mpicc,amg,amg3,4,64,6.2160000000000002,1.1043333333333334,0.064453125
pinAll,mpicc,amg,amg4,4,64,4.5603333333333333,1.1243333333333334,0.064453125
pinAll,mpicc,hpgmg,fe,1,16,4.5693333333333337,0.90033333333333332,0.0634765625
pinAll,mpicc,hpgmg,fv1,1,16,4.4790000000000001,0.89833333333333343,0.0634765625
pinAll,mpicc,hpgmg,fv2,1,16,5.9113333333333324,0.90533333333333343,0.064453125
pinAll,mpicc,hpgmg,fv3,1,16,6.4059999999999997,0.90133333333333343,0.0634765625
