Tool,Compiler,Benchmark,Application,#nodes,#processes,Rep ID,Runtime(s)-real,Runtime(s)-user,Runtime(s)-sys,Size(KB)
orig,mpicc,nas,cg,16,256,2,7.3899999999999997,2.2469999999999999,0.40200000000000002,0.0
orig,mpicc,nas,cg,16,256,3,7.6349999999999998,2.2200000000000002,0.43099999999999999,0.0
orig,mpicc,nas,ep,16,256,1,5.8520000000000003,2.2290000000000001,0.41399999999999998,0.0
orig,mpicc,nas,ep,16,256,2,5.0259999999999998,2.254,0.40100000000000002,0.0
orig,mpicc,nas,ep,16,256,3,3.8069999999999999,2.2559999999999998,0.39200000000000002,0.0
orig,mpicc,nas,ft,16,256,1,8.5920000000000005,2.2370000000000001,0.42799999999999999,0.0
orig,mpicc,nas,ft,16,256,2,8.6519999999999992,2.218,0.443,0.0
orig,mpicc,nas,ft,16,256,3,8.6340000000000003,2.2109999999999999,0.45400000000000001,0.0
orig,mpicc,nas,is,16,256,1,5.101,2.214,0.41699999999999998,0.0
orig,mpicc,nas,is,16,256,2,5.0979999999999999,2.2200000000000002,0.41999999999999998,0.0
orig,mpicc,nas,is,16,256,3,7.226,2.23,0.40100000000000002,0.0
orig,mpicc,nas,lu,16,256,1,8.0039999999999996,2.2549999999999999,0.40500000000000003,0.0
orig,mpicc,nas,lu,16,256,2,8.0120000000000005,2.2599999999999998,0.39800000000000002,0.0
orig,mpicc,nas,lu,16,256,3,9.9979999999999993,2.2250000000000001,0.42799999999999999,0.0
orig,mpicc,nas,mg,16,256,1,11.590999999999999,2.2810000000000001,0.51300000000000001,0.0
orig,mpicc,nas,mg,16,256,2,4.2670000000000003,2.2269999999999999,0.42799999999999999,0.0
orig,mpicc,nas,mg,16,256,3,4.2460000000000004,2.2440000000000002,0.40799999999999997,0.0
orig,mpicc,nas,sp,16,256,1,12.387,2.25,0.39300000000000002,0.0
orig,mpicc,nas,sp,16,256,2,12.696999999999999,2.2349999999999999,0.38800000000000001,0.0
orig,mpicc,nas,sp,16,256,3,12.369999999999999,2.2450000000000001,0.38200000000000001,0.0
orig,scorep,nas,bt,16,256,1,15.917999999999999,2.3210000000000002,0.46899999999999997,0.0
orig,scorep,nas,bt,16,256,2,14.315,2.3340000000000001,0.505,0.0
orig,scorep,nas,bt,16,256,3,9.6199999999999992,2.3599999999999999,0.42899999999999999,0.0
orig,scorep,nas,cg,16,256,1,7.7300000000000004,2.3500000000000001,0.43099999999999999,0.0
orig,scorep,nas,cg,16,256,2,5.8719999999999999,2.3410000000000002,0.46600000000000003,0.0
orig,scorep,nas,cg,16,256,3,6.1879999999999997,2.3570000000000002,0.435,0.0
orig,scorep,nas,ep,16,256,1,4.7030000000000003,2.343,0.42999999999999999,0.0
orig,scorep,nas,ep,16,256,2,4.681,2.3519999999999999,0.441,0.0
orig,scorep,nas,ep,16,256,3,6.048,2.3410000000000002,0.44700000000000001,0.0
orig,scorep,nas,ft,16,256,1,7.9640000000000004,2.3180000000000001,0.57599999999999996,0.0
orig,scorep,nas,ft,16,256,2,9.266,2.3780000000000001,0.48499999999999999,0.0
orig,scorep,nas,ft,16,256,3,9.9109999999999996,2.3460000000000001,0.45800000000000002,0.0
orig,scorep,nas,is,16,256,1,5.3179999999999996,2.3140000000000001,0.47999999999999998,0.0
orig,scorep,nas,is,16,256,2,5.3390000000000004,2.3319999999999999,0.439,0.0
orig,scorep,nas,is,16,256,3,5.8300000000000001,2.347,0.42199999999999999,0.0
orig,scorep,nas,lu,16,256,1,9.577,2.363,0.42299999999999999,0.0
orig,scorep,nas,lu,16,256,2,9.5609999999999999,2.3500000000000001,0.51700000000000002,0.0
orig,scorep,nas,lu,16,256,3,11.263,2.3180000000000001,0.52400000000000002,0.0
orig,scorep,nas,mg,16,256,1,12.581,2.3500000000000001,0.56200000000000006,0.0
orig,scorep,nas,mg,16,256,2,5.1470000000000002,2.3820000000000001,0.49199999999999999,0.0
orig,scorep,nas,mg,16,256,3,6.4610000000000003,2.3540000000000001,0.48799999999999999,0.0
