Tool,Compiler,Benchmark,Application,#nodes,#processes,avg Runtime(s)-real,avg Runtime(s)-user, avg Size(KB)
orig,mpicc,pkifmm,ex2-1,1,16,218.80099999999999,3287.703,0.0
orig,mpicc,pkifmm,ex2-2,1,16,572.06399999999996,8394.9459999999999,0.0
orig,mpicc,pkifmm,ex3-1,1,16,275.74200000000002,4055.8670000000002,0.0
orig,mpicc,pkifmm,ex3-2,1,16,574.30100000000004,8447.3729999999996,0.0
pinAll,mpicc,nas,bt,1,16,473.66700000000003,7503.9560000000001,15244.3447265625
pinAll,mpicc,nas,cg,1,16,64.183999999999997,947.07899999999995,6918.119140625
pinAll,mpicc,nas,ep,1,16,170.202,2630.337,5149.482421875
pinAll,mpicc,nas,ft,1,16,150.13400000000001,2308.962,4329.4755859375
pinAll,mpicc,nas,is,1,16,25.669,328.83199999999999,2787.69140625
pinAll,mpicc,nas,lu,1,16,234.749,3673.5160000000001,19784.2626953125
pinAll,mpicc,nas,mg,1,16,4.4989999999999997,22.462,241.953125
pinAll,mpicc,nas,sp,1,16,185.21899999999999,2854.4430000000002,7606.6298828125
pinMain,mpicc,nas,bt,1,16,466.45299999999997,7390.5460000000003,1758.421875
pinMain,mpicc,nas,cg,1,16,55.637999999999998,819.19100000000003,119.931640625
pinMain,mpicc,nas,ep,1,16,162.262,2536.0059999999999,1642.80078125
pinMain,mpicc,nas,ft,1,16,142.04300000000001,2193.7820000000002,688.8896484375
pinMain,mpicc,nas,is,1,16,18.048999999999999,227.94999999999999,18.921875
pinMain,mpicc,nas,lu,1,16,223.54399999999998,3513.0929999999998,122.3330078125
pinMain,mpicc,nas,mg,1,16,8.5830000000000002,21.140000000000001,111.84375
pinMain,mpicc,nas,sp,1,16,176.94900000000001,2744.0459999999998,643.5576171875
tau_exec,mpicc,nas,bt,1,16,0.0,0.0,0.0
tau_exec,mpicc,nas,cg,1,16,0.0,0.0,0.0
tau_exec,mpicc,nas,ep,1,16,0.0,0.0,0.0
tau_exec,mpicc,nas,ft,1,16,0.0,0.0,0.0
tau_exec,mpicc,nas,is,1,16,0.0,0.0,0.0
tau_exec,mpicc,nas,lu,1,16,0.0,0.0,0.0
tau_exec,mpicc,nas,mg,1,16,0.0,0.0,0.0
tau_exec,mpicc,nas,sp,1,16,0.0,0.0,0.0
